mode,pgfault,pgmajfault,pgscan_anon,pgscan_direct,pgscan_direct_throttle,pgscan_file,pgscan_khugepaged,pgscan_kswapd,pgsteal_anon,pgsteal_direct,pgsteal_file,pgsteal_khugepaged,pgsteal_kswapd,reclaim_efficiency
baseline,4474875.0,63703.0,4306975.0,2104239.0,0.0,62446.0,0.0,2265182.0,695548.0,167427.0,44229.0,0.0,572350.0,0.16930778700427357
existing-madvise,5556959.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
semantic,5279612.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
